WoningType;Aantal;Zon_PV;Zonneboiler;mWKK;eWP;EWV;hWP
[];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning];[Woning]
onbekend;0;0;0;0;0;0;0
vrijstaand/bungalows;0;0;0;0;0;0;0
twee onder een kap;0;0;0;0;0;0;0
rijtjeshuizen/eengezins;0;0;0;0;0;0;0
flats 4 of minder verdiepingen;0;0;0;0;0;0;0
flats meer dan 4 verdiepingen;0;0;0;0;0;0;0
etagewoning/maisonnette;0;0;0;0;0;0;0
etage/flats grachtenpand;0;0;0;0;0;0;0
herenhuis grachtenpand;0;0;0;0;0;0;0
zelfstandige bejaardenwoning;0;0;0;0;0;0;0
boerderij/tuinderij;0;0;0;0;0;0;0
studentenwoning/flat;0;0;0;0;0;0;0
woonboten;0;0;0;0;0;0;0
woonwagens;0;0;0;0;0;0;0
divers;0;0;0;0;0;0;0
